No Equipment	No Equipment	No Equipment	No Equipment	No Equipment	No Equipment
Iron Sword	Hunter's Knife	Iron Hammer	Thunderclap	Bone Axe	Iron Lance
Iron Sword+	Hunter's Knife+	Iron Hammer+	Thunderclap+	Bone Axe+	Iron Lance+
Buster Sword	Hunter's Dagger	War Hammer	ダミー	Assault Axe	Thane Lance
Buster Sword+	Assassin's Dagger	War Hammer+	Heaven's Thunder (R)	Assault Axe+	Knight Lance
Buster Blade	Shadow Saber	War Mace	ダミー	ダミー	Rampart
Ravager Blade	Shadow Saber+	Iron Striker	Heaven's Thunder (Y)	Blitzkrieg (R)	Rampart+
Ravager Blade+	Toxic Fang	Iron Impact	ダミー	Blitzkrieg (B)	Babel Spear
Lacerator Blade	Icicle Spike	Gun Hammer	ダミー	ダミー	Babel Spear+
Mutilator Blade	Icicle Spike+	Gun Hammer+	Ananta Boneblade	ダミー	ダミー
Brazenwall	Nardebosche	Deadeye Revolver	Ananta Boneblade+	ダミー	Elder Babel Spr (R)
Crimsonwall	Soldier's Dagger	Vortex Hammer	ダミー	ダミー	Nega-Babylon
Rugged Great Sword	Commander's Dagger	ダミー	ダミー	ダミー	ダミー
Chieftain's Grt Swd	Hydra Knife	Vortical Hammer (R)	ダミー	ダミー	ダミー
High Chief's Grt Swd	Deadly Knife	ダミー	ダミー	ダミー	ダミー
Carapace Sword	Hypnos Knife	Vortical Hammer (Y)	Shadowbinder (P)	Bastion Blitz (P)	Acrus Lance
Carapace Blade	Morpheus Knife	Vortiginous Hmr (P)	Shadowbinder (G)	ダミー	ダミー
Barroth Wedge	Azi Dahaka	Vortiginous Hmr (G)	Dancing Flames	Fire Tempest	Doris Spear (R)
Barroth Smasher	Azi Dahaka+	High Vortex Hammer	Dancing Hellfire	Flame Tempest	ダミー
Lagiacrus Blade	ダミー	ダミー	"Wyvern Blade ""Fire"""	Bolt Axe	Doris Spear (Y)
ダミー	ダミー	ダミー	"Wyvern Blade ""Flame"""	ダミー	Doris Fellspear (P)
Lagia Lightning (R)	ダミー	ダミー	"Wyvern Blade ""Flare"""	Volt Axe (R)	Doris Fellspear (G)
ダミー	ダミー	ダミー	Barbarian Blade	ダミー	High Acrus Lance
Lagia Lightning (Y)	Almighty Dahaka (P)	ダミー	Barbarian Blade+	Volt Axe (Y)	ダミー
