Pas d'équipement
Fusarbalète léger
Fusarbalète moyen
Fusarbalète lourd
Lanceur royal
Feu Jaggid
Thundacrus Rex
Fusil Rathling +
Canon blizzard
Piqûre de poison
Sourire du diable
Fusil Tropeco
Diablazooka
Agnafoudroyeur
Aile du chaos
Canon Jhen
Dummy
"Éclair" aquamatique
"Tir" aquamatique
Vulcanon
Pas d'équipement
Fusarbalète léger
Fusarbalète moyen
Fusarbalète lourd
"Dard" aquamatique
Lanceur royal
Thundacrus
Thundacrus Rex
Fusil Rathling
Fusil Rathling +
Canon blizzard
Piqûre de poison
Fusil Tropeco
Diablazooka
Agnafoudroyeur
Aile du chaos
Canon Jhen
"Éclair" aquamatique
"Tir" aquamatique
Vulcanon
Pas d'équipement
Fusarbalète léger
Fusarbalète moyen
Fusarbalète lourd
"Dard" aquamatique
Lanceur royal
Feu Jaggid
Thundacrus
Thundacrus Rex
Fusil Rathling
Fusil Rathling +
Barrozooka
Sourire du diable
Fusil Tropeco
Diablazooka
Aile du chaos
Canon Jhen
"Éclair" aquamatique
"Tir" aquamatique
Vulcanon
Gouffre sanglant
