Pas d'équipement	Pas d'équipement	Pas d'équipement	Pas d'équipement	Pas d'équipement	Pas d'équipement
Tunique en cuir	Gants en cuir	Ceinture en cuir	Pantalon en cuir	Coiffe en cuir	Talisman pion
Tunique en maille	Gants en maille	Ceinture de nageur	Cuissardes de nageur	Masque de nageur	Talisman fou
Foulard de Loc Lac	Avt-bras de chasseur	Ceinture en maille	Pantalon en maille	Coiffe en maille	Talisman cavalier
Cotte de chasseur	Gardes de chasseur	Kilt de Loc Lac	Bottes de Loc Lac	Casque de chasseur	Talisman tour
Tunique de chasseur	Avant-bras d'os	Tasset. de chasseur	Grèves de chasseur	Heaume de chasseur	Talisman reine
Cotte d'os	Gardes d'os	Taille de chasseur	Cuiss. de chasseur	Casque d'os	Talisman roi
Tunique d'os	Avt-bras en alliage	Tassettes d'os	Grèves d'os	Heaume d'os	Talisman dragon
Cotte en alliage	Gardes en alliage	Taille d'os	Cuissardes d'os	Casque en alliage	
Tunique en alliage	Avant-bras Jaggi	Ceinturon en alliage	Grèves en alliage	Heaume en alliage	
Cotte Jaggi	Gardes Jaggi	Taille en alliage	Cuiss. en alliage	Casque Jaggi	
Tunique Jaggi	Avant-bras Rhenoplos	Tassettes Jaggi	Grèves Jaggi	Heaume Jaggi	
Armure Bnahabra	Gardes Rhenoplos	Taille Jaggi	Cuissardes Jaggi	Casque Rhenoplos	
Tunique Bnahabra	Avant-bras Qurupeco	Ceinturon Bnahabra	Bottes Bnahabra	Heaume Rhenoplos	
Cotte Rhenoplos	Gardes Qurupeco	Taille Bnahabra	Pantalon Bnahabra	Casque Qurupeco	
Tunique Rhenoplos	Avant-bras Ludroth	Ceinturon Rhenoplos	Grèves Rhenoplos	Heaume Qurupeco	
Cotte Qurupeco	Gardes Ludroth	Taille Rhenoplos	Cuissardes Rhenoplos	Casque Ludroth	
Tunique Qurupeco	Avant-bras d'acier	Ceinturon Qurupeco	Grèves Qurupeco	Heaume Ludroth	
Cotte Ludroth	Avant-bras Baggi	Taille Qurupeco	Cuissardes Qurupeco	Casque Baggi	
Tunique Ludroth	Gardes Baggi	Tassettes Ludroth	Grèves Ludroth	Heaume Baggi	
Cotte d'acier	Avant-bras Barroth	Taille Ludroth	Cuissardes Ludroth	Casque Barroth	
Cotte Baggi	Gardes Barroth	Tassettes d'acier	Grèves Baggi	Heaume Barroth	
Tunique Baggi	Avant-bras Gobul	Ceinturon Baggi	Cuissardes Baggi	Casque Gobul	
Cotte Barroth	Gardes Gobul	Taille Baggi	Grèves Barroth	Heaume Gobul	
Tunique Barroth	Gantelets de ranger	Tassettes Barroth	Cuissardes Barroth	Coiffe de ranger	
Cotte Gobul	Gantelets d'archer	Taille Barroth	Grèves Gobul	Turban d'archer	
Tunique Gobul	Avant-bras de barde	Tassettes Gobul	Cuissardes Gobul	Lobos de barde	
Gaine de ranger	Manches de barde	Taille Gobul	Espadrill. de ranger	Chapeau de barde	
Gaine d'archer	Gants de clerc	Tassettes de ranger	Espadrill. d'archer	Béret de clerc	
Boléro de barde	Manches de clerc	Bandoulière d'archer	Bottes de barde	Heaume de clerc	
Tunique de barde	Avant-bras Rathian	Ceinturon de barde	Guêtres de barde	Casque Rathian	
Blouse de clerc	Gardes Rathian	Taille de barde	Chaussettes de clerc	Heaume Rathian	
Tunique de clerc	Avant-bras Gigginox	Jupe de clerc	Sandales de clerc	Casque Gigginox	
Cotte Rathian	Gardes Gigginox	Minijupe de clerc	Grèves Rathian	Heaume Gigginox	
Tunique Rathian	Avant-bras en lingot	Tassettes Rathian	Cuissardes Rathian 	Casque en lingot	
Cotte Gigginox	Gardes en lingot	Taille Rathian	Grèves Gigginox	Heaume en lingot	
Tunique Gigginox	Avant-bras Lagiacrus	Tassettes Gigginox	Cuissardes Gigginox	Casque Lagiacrus	
Cotte en lingot	Gardes Lagiacrus	Taille Gigginox	Grèves en lingot	Heaume Lagiacrus	
Tunique en lingot	Avant-bras Rathalos	Ceinturon en lingot	Cuissardes en lingot	Casque Rathalos	
Cotte Lagiacrus	Gardes Rathalos	Taille en lingot	Grèves Lagiacrus	Heaume Rathalos	
