Piégeur de choc
Attaque Feu
Attaque Eau
Attaque Glace
Attaque Foudre
Attaque Dragon
Aug. att. élem.
Attaque poison
Att. paralysie
Attaque sommeil
Aug. att. aff.
Att. étourdsment
Bonus affinité
Bonus attaque
Bonus défense
Bonus garde
Bonus agilité
Récup. rapide
Chasseur
Cueilleur
Sept vies
Dern. bataille
Rage
Protège-tympan
Brise-vent
Antidote
Bombardier
Masque gland
Masque lampe
Masque antique
Masque mystère
Masque gril
Masque peluche
Faux Felyne
Danse Rah-Rah
Danse Ooga-Boo
Danse Waka-Waka
Danse Boom-Boom
Provoquer
Attaque +1
Attaque +3
Défense +1
Défense +3
Antidote
Récup. (bas)
Récup. (haut)
Chaud & frais
Brise-vent
Énergie
Flash
Bombe sonique
Bonus Fléau
