Aucun
Antidote
Venin
Anti-paralysie
Super paralysie
Noctambule
Hypersomnie
Crâne de pierre
Crâne de fer
Menton de verre
Anti-boue/neige
Furtivité
Provocation
Santé +20
Santé +50
Santé -10
Santé -30
Récupération +1
Récupération +2
Récupération -1
Récupération -2
Samouraï
Barbare
Tranchant +1
Œil de l'esprit
Œil critique +1
Œil critique +2
Œil critique +3
Œil critique -1
Œil critique -2
Œil critique -3
Aiguisage rapide
Aiguisage lent
Garde +1
Garde +2
Garde -1
Paladin
Garde auto
Rechargement +1
Rechargement +2
Rechargement +3
Rechargement -1
Rechargement -2
Rechargement -3
Recul +1
Recul +2
Recul +3
Recul -1
Recul -2
Recul -3
Normale giga
Perçante giga
Plomb giga
Normale +
Perçante Nv 1 +
Perçante +
Plomb Nv 1 +
Plomb +
Explosive Nv 1 +
Explosive +
Fragment. Nv 1 +
Fragmentation +
Statut +
Statut -
Élémental +
Élémental -
Bombardier
Ascète
Spartiate
Glouton
Gargantua
Gourmet
Goinfre
Attaque +1
Attaque +2
Attaque +3
Attaque -1
Attaque -2
Attaque -3
Défense +1
Défense +2
Défense +3
Défense -1
Défense -2
Défense -3
Grâce divine
Grâce démoniaque
Protège-tympan
Bouche-oreille
Antivol
Soutien +1
Soutien +2
Transporteur
Feu +10
Feu +15
Feu +20
Feu -10
Feu -15
Eau +10
Eau +15
Eau +20
Eau -10
Eau -15
Foudre +10
Foudre +15
Foudre +20
Foudre -10
Foudre -15
Glace +10
Glace +15
Glace +20
Glace -10
Glace -15
Dragon +10
Dragon +15
Dragon +20
Dragon -10
Dragon -15
Chaleur +1
Chaleur +2
Chaleur -1
Chaleur -2
Froid +1
Froid +2
Froid -1
Froid -2
Vent +1
Vent +2
Vue d'aigle
Myope
Collecte +1
Collecte +2
Collecte -1
Chapardeur
Lubie esprit
Lubie divine
Lubie du spectre
Lubie du démon
Bonne fortune
Super chance
Mauvaise fortune
Poisse
Maître pêcheur
Détection
Traqueur auto
Restauration +
Restauration -
Combinaison +15%
Combinaison +25%
Combinaison +45%
Combinaison -5%
Combinaison -10%
Combinaison -15%
Alchimiste
Évasion +1
Évasion +2
Adrénaline +1
Adrénaline +2
Inquiétude
Habile
Maladroit
Marathonien
Sprinter
Munitions +
Précision +1
Précision +2
Précision -1
Carnassier +1
Carnassier +2
Végétarien
Dépeceur pro
Expert dépeceur
Anti-séisme
Expert BBQ
Esquive +
Critique
Maître piégeur
Ninja +1
Ninja +2
Ninja -1
Ninja -2
Maître de capture
Gourou de capture
Concentration
Distraction
Oxygène +
Oxygène -
Courant +1
Courant +2
Requin
Caniche
Punition
Anti-fléau
Réveil
Ténacité
Sniper
Maître bousier
Aura de feu
