Barrel Bomb S	Pt bombe baril
Barrel Bomb L	Gd bombe baril
Pitfall Trap	Fosse piégée
Shock Trap	Piège à choc
Flash Bomb	Bombe flash
Oxygen Supply	Bonbonne oxygène
Sonic Bomb	Bombe sonique
Throwing Knife	Cout. de lancer
Poison Knife	Couteau poison
Sleep Knife	Cout. somnifère
Paralysis Knife	Cout. paralysant
Tranq Knife	Cout. tranq.
Potion	Potion
Mega Potion	Méga potion
Dash Juice	Jus d'énergie
Mega Dash Juice	Méga jus énergie
Antidote	Antidote
Demondrug	Drogue du démon
Mega Demondrug	Méga drogue dém.
Might Pill	Pilule pouvoir
Armorskin	Peau armure
Mega Armorskin	Méga peau armure
Adamant Pill	Pilule armure
Cool Drink	Breuvage frais
Hot Drink	Breuvage chaud
Well-done Steak	Steak à point
Rare Steak	Steak saignant
Burnt Meat	Viande brûlée
Raw Meat	Viande crue
Poisoned Meat	Viande poison
Tinged Meat	Viande teintée
Drugged Meat	Viande droguée
Paintball	Marqueur
Old Pickaxe	Vieille pioche
Iron Pickaxe	Pioche de fer
Mega Pickaxe	Méga pioche
Old Bug Net	Vieux Filinsecte
Bug Net	Filinsecte
Mega Bug Net	Méga Filinsecte
BBQ Spit	Broche BBQ
Great Jaggi Head	Tête de gd Jaggi
Map	Carte
Torch	Torche
First-aid Med	Premiers soins
Ration	Ration
Mini Oxy Supply	Mini bonb. oxy.
Portable Spit	Broche portable
Mini Whetstone	Mini aiguisoir
EZ Shock Trap	Piège choc port.
EZ Flash Bomb	Flash bmb four.
Max Potion	Potion max
Barrel Bomb L+	Gd bombe baril+
Normal S Lv1	Mn Normale Nv1
Normal S Lv2	Mn Normale Nv2
Normal S Lv3	Mn Normale Nv3
Pierce S Lv1	Mn Perç. Nv1
Pierce S Lv2	Mn Perç. Nv2
Pierce S Lv3	Mn Perç. Nv3
Pellet S Lv1	Mn Plomb Nv1
Pellet S Lv2	Mn Plomb Nv2
Pellet S Lv3	Mn Plomb Nv3
Crag S Lv1	Mn Explos. Nv1
Crag S Lv2	Mn Explos. Nv2
Crag S Lv3	Mn Explos. Nv3
Clust S Lv1	Mn Frag. Nv1
Clust S Lv2	Mn Frag. Nv2
Clust S Lv3	Mn Frag. Nv3
Flaming S	Mn Enflammée
Water S	Mn Aquatique
Thunder S	Mn Foudre
Freeze S	Mn Gel
Dragon S	Mn Dragon
Recov S Lv1	Mn Guér. Nv1
Recov S Lv2	Mn Guér. Nv2
Poison S Lv1	Mn Poison Nv1
Poison S Lv2	Mn Poison Nv2
Para S Lv1	Mn Para Nv1
Para S Lv2	Mn Para Nv2
Sleep S Lv1	Mn Sommeil Nv1
Sleep S Lv2	Mn Sommeil Nv2
Tranq S	Mn Tranq.
Paint S	Mn Marqueur
Demon S I	Mn Démon I
Demon S II	Mn Démon II
Armor S I	Mn Armure I
Armor S II	Mn Armure II
Sub S Lv1	Mn SM Nv1
Sub S Lv2	Mn SM Nv2
Exhaust S	Mn Épuis.
ERR89	ERR89
Slicing S	Mn Tranchante
